AID,BIO_SEX,IMONTH,IDAY,IYEAR,H1GI1M,H1GI1Y,H1GI4,H1GI6A,H1GI6B,H1GI6C,H1GI6D,H1GI6E,H1GI8,H1GI9,H1NM4,H1NF4,H1RM1,H1RF1
90572172,1,7,20,95,5,78,0,1,0,0,0,0,7,1,97,97,8,7
90572177,2,7,26,95,11,80,0,1,0,0,0,0,7,1,97,8,8,11
90572192,2,5,6,95,11,78,0,1,0,0,0,0,7,1,97,4,4,7
90572198,2,8,13,95,11,77,0,1,0,0,0,0,7,1,97,97,4,2
90572209,1,5,18,95,4,78,0,1,0,0,0,0,7,1,97,4,4,97
90572213,2,6,16,95,8,79,0,1,0,0,0,0,7,1,97,97,4,4
90572221,2,9,19,95,12,80,0,1,0,0,0,0,7,1,8,97,97,6
90572223,2,9,18,95,10,82,0,0,0,1,0,0,7,3,97,4,7,97
90572228,2,9,26,95,8,77,0,1,0,0,0,0,7,1,97,5,8,8
90572265,2,7,31,95,11,78,0,1,0,0,0,0,7,1,97,97,4,4
90572268,2,6,8,95,6,81,0,1,0,0,0,0,7,1,97,9,7,97
90572269,2,7,31,95,9,79,0,1,0,0,0,0,7,1,97,97,7,6
90572280,2,7,6,95,7,78,0,1,0,0,0,0,7,1,97,97,3,11
90572282,2,6,28,95,11,77,0,0,1,0,0,0,7,2,97,4,2,97
90572283,2,6,29,95,3,80,0,1,0,0,0,0,7,1,97,97,4,4
90572285,2,5,23,95,3,77,0,0,1,0,0,0,7,2,2,4,12,97
90572293,2,7,23,95,8,78,1,0,0,0,0,1,7,5,1,2,2,2
90572303,2,6,9,95,11,79,0,1,0,0,0,0,7,1,97,97,7,4
90572323,1,6,6,95,10,76,0,0,0,1,0,0,7,3,97,11,7,4
90572325,2,5,25,95,10,80,1,0,0,1,0,0,7,3,97,97,2,97
90572341,1,7,19,95,9,75,0,1,0,0,0,0,7,1,97,4,4,4
90572369,1,5,2,95,12,77,0,1,0,0,0,0,7,1,97,8,4,97
90572383,1,6,21,95,10,77,0,0,1,0,0,0,7,2,97,97,9,8
90572384,1,5,22,95,6,78,0,1,0,0,0,0,7,1,97,97,7,1
90572389,2,6,20,95,2,81,0,0,1,0,0,0,7,2,97,97,8,8
90572393,1,6,12,95,11,76,0,1,0,0,0,0,7,1,2,97,97,97
